Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm6073955,2019-07-27,2019-07-27,,"Florence Pugh","The Falling","3 de enero de 1996"
2,nm8821891,2019-07-27,2019-07-27,,"Isabelle Grill","Midsommar","20 de septiembre de 1997"
3,nm1638321,2019-07-28,2019-07-28,,"Maya Hawke","Do Revenge","8 de julio de 1998"
4,nm3034501,2019-07-28,2019-07-28,,"Natalia Dyer","Stranger Things","13 de enero de 1995"
5,nm2605345,2019-07-28,2019-07-28,,"Gemma Arterton","Prince of Persia: The Sands of Time","2 de febrero de 1986"
6,nm0000233,2019-07-28,2019-07-28,,"Quentin Tarantino","Reservoir Dogs","27 de marzo de 1963"
7,nm4170048,2019-07-29,2019-07-29,,"Ari Aster","Hereditary","15 de julio de 1986"
8,nm2125482,2019-07-29,2019-07-29,,"Chloé Zhao","Nomadland","31 de marzo de 1982"
9,nm2251846,2019-07-29,2019-07-29,,"Joanna Kulig","Zimna wojna","24 de junio de 1982"
10,nm0271763,2019-08-01,2019-08-01,,"Edwige Fenech","Hostel: Part II","24 de diciembre de 1948"
11,nm5584702,2019-08-02,2019-08-02,,"Michalina Olszańska","Já, Olga Hepnarová","29 de junio de 1992"
12,nm1206844,2019-08-03,2019-08-03,,"Drew Goddard","The Martian","26 de febrero de 1975"
13,nm0435299,2019-08-04,2019-08-04,,"Meiko Kaji","Shurayuki-hime","24 de marzo de 1947"
14,nm2292661,2019-08-08,2019-08-08,,"Zoe Colletti","Scary Stories to Tell in the Dark","27 de noviembre de 2001"
15,nm0840754,2019-08-10,2019-08-10,,"Blanca Suárez","El bar","21 de octubre de 1988"
16,nm2811823,2019-10-06,2019-10-06,,"Sierra McCormick","The Vast of Night","28 de octubre de 1997"
17,nm2267725,2019-10-06,2019-10-06,,"Dora Madison","Dark Places","17 de octubre de 1990"
18,nm3976308,2019-10-06,2019-10-06,,"Joe Begos","Christmas Bloody Christmas",
19,nm3475396,2019-10-06,2019-10-06,,"Macarena García","Blancanieves","26 de abril de 1988"
20,nm1782299,2019-10-06,2019-10-06,,"Imogen Poots","Vivarium","3 de junio de 1989"
21,nm3211470,2019-10-06,2019-10-06,,"Robert Eggers","The Lighthouse","7 de julio de 1983"
22,nm9698919,2019-10-06,2019-10-06,,"Ginevra Francesconi","Una figlia","22 de abril de 2003"
23,nm1154749,2019-10-06,2019-10-06,,"Sofia Boutella","Kingsman: The Secret Service","3 de abril de 1982"
24,nm7603745,2019-10-06,2019-10-06,,"Sasha Lane","American Honey","29 de septiembre de 1995"
25,nm7346682,2019-10-07,2019-10-07,,"Daphné Patakia","Benedetta","8 de junio de 1992"
26,nm2356940,2019-10-07,2019-10-07,,"Hannah Murray","God Help the Girl","1 de julio de 1989"
27,nm0923266,2019-10-07,2019-10-07,,"Merritt Wever","Signs","11 de agosto de 1980"
28,nm1281415,2019-10-08,2019-10-08,,"Karine Teles","Bacurau","16 de agosto de 1978"
29,nm0001618,2019-10-11,2019-10-11,,"Joaquin Phoenix","Walk the Line","28 de octubre de 1974"
30,nm0000134,2019-10-11,2019-10-11,,"Robert De Niro","Cape Fear","17 de agosto de 1943"
31,nm5896355,2019-10-12,2019-10-12,,"Anya Taylor-Joy","The Queen's Gambit","16 de abril de 1996"
32,nm1428821,2019-10-27,2019-10-27,,"Joey King","The Act","30 de julio"
33,nm0272581,2019-10-31,2019-10-31,,"Rebecca Ferguson","The Greatest Showman","19 de octubre de 1983"
34,nm3014840,2019-10-31,2019-10-31,,"Emily Alyn Lind","Enter the Void","6 de mayo"
35,nm2884175,2019-11-04,2019-11-04,,"Alba Messa","Enloqueciendo Contigo","1986"
36,nm3706285,2019-11-04,2019-11-04,,"Alba García","e-Life","12 de julio de 1992"
37,nm0892299,2019-11-04,2019-11-04,,"Manuela Velasco","[Rec]","23 de octubre de 1975"
38,nm0429069,2019-11-13,2019-11-13,,"Rashida Jones","Parks and Recreation","25 de febrero de 1976"
39,nm3338354,2019-11-13,2019-11-13,,"Kate Lyn Sheil","You're Next","13 de junio de 1985"
40,nm2057859,2019-11-14,2019-11-14,,"Andrea Riseborough","Birdman or (The Unexpected Virtue of Ignorance)","20 de noviembre de 1981"
41,nm4347776,2019-11-16,2019-11-16,,"Belén Riquelme","Cuarenteenager",
42,nm5769780,2019-11-16,2019-11-16,,"Mariu Bárcena","Loca Olivia",
43,nm1046097,2019-11-16,2019-11-16,,"Rachel McAdams","The Notebook","17 de noviembre de 1978"
44,nm4442319,2019-11-16,2019-11-16,,"Kara Hayward","Moonrise Kingdom","17 de noviembre"
45,nm4496875,2019-11-16,2019-11-16,,"Mackenzie Davis","Terminator: Dark Fate","1 de abril"
46,nm1875238,2019-11-16,2019-11-16,,"Jessica Barden","Hanna","21 de julio de 1992"
47,nm3592338,2019-11-16,2019-11-16,,"Emilia Clarke","Game of Thrones","23 de octubre de 1986"
48,nm1297015,2019-11-16,2019-11-16,,"Emma Stone","La La Land","6 de noviembre de 1988"
49,nm2394794,2019-11-16,2019-11-16,,"Karen Gillan","Selfie","28 de noviembre de 1987"
50,nm6609666,2019-11-19,2019-11-19,,"Billie Lourd","Booksmart","17 de julio de 1992"
51,nm0731075,2019-11-19,2019-11-19,,"Emma Roberts","We're the Millers","10 de febrero de 1991"
52,nm0343678,2019-11-19,2019-11-19,,"Leslie Grossman","American Horror Story","25 de octubre de 1971"
53,nm1462513,2019-11-19,2019-11-19,,"Stefanie Black","This Is Us","21 de marzo"
54,nm1720028,2019-11-19,2019-11-19,,"Amber Heard","Aquaman","22 de abril de 1986"
55,nm1490123,2019-11-19,2019-11-19,,"James Wan","Saw","26 de febrero de 1977"
56,nm0000173,2019-11-19,2019-11-19,,"Nicole Kidman","Moulin Rouge!","20 de junio de 1967"
57,nm0001593,2019-11-24,2019-11-24,,"Anna Paquin","The Piano","24 de julio de 1982"
58,nm0000217,2019-11-24,2019-11-24,,"Martin Scorsese","Taxi Driver","17 de noviembre de 1942"
59,nm1143816,2019-11-24,2019-11-24,,"Lily Rabe","Fractured","29 de junio"
60,nm1396022,2019-11-27,2019-11-27,,"Anna Torv","Fringe","7 de junio de 1979"
61,nm2193120,2019-11-27,2019-11-27,,"Hannah Gross","Joker",
62,nm0144519,2019-12-09,2019-12-09,,"Cristina Castaño","Sin plomo","30 de octubre de 1978"
63,nm2009186,2019-12-09,2019-12-09,,"Miren Ibarguren","Los sin nombre","23 de mayo de 1980"
64,nm9842457,2019-12-09,2019-12-09,,"Mero González","Lo carga el diablo",
65,nm2017943,2019-12-10,2019-12-10,,"Hayley Atwell","Captain America: The First Avenger","5 de abril de 1982"
66,nm0000307,2019-12-10,2019-12-10,,"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","26 de mayo de 1966"
67,nm4141252,2019-12-10,2019-12-10,,"Lily James","Cinderella","5 de abril de 1989"
68,nm0540441,2019-12-19,2019-12-19,,"Jena Malone","The Neon Demon","21 de noviembre de 1984"
69,nm0000106,2019-12-19,2019-12-19,,"Drew Barrymore","Charlie's Angels","22 de febrero de 1975"
70,nm9737150,2019-12-21,2019-12-21,,"Louise Labèque","Au bout des doigts","13 de abril de 2003"
71,nm0005392,2019-12-23,2019-12-23,,"Keri Russell","The Diplomat","23 de marzo de 1976"
72,nm5397459,2019-12-23,2019-12-23,,"Daisy Ridley","Star Wars: Episode VII - The Force Awakens","10 de abril de 1992"
73,nm0000402,2019-12-23,2019-12-23,,"Carrie Fisher","Star Wars","21 de octubre de 1956"
74,nm0009190,2019-12-23,2019-12-23,,"J.J. Abrams","Lost","27 de junio de 1966"
75,nm3485845,2019-12-23,2019-12-23,,"Adam Driver","Star Wars: Episode VII - The Force Awakens","19 de noviembre de 1983"
76,nm0005416,2019-12-30,2019-12-30,,"Vinessa Shaw","3:10 to Yuma","19 de julio de 1976"
77,nm0005447,2019-12-30,2019-12-30,,"Leelee Sobieski","Never Been Kissed","10 de junio de 1983"
78,nm0852801,2019-12-30,2019-12-30,,"Louise Taylor-Smith","Eyes Wide Shut",
79,nm0861344,2019-12-30,2019-12-30,,"Stewart Thorndike","Eyes Wide Shut",
80,nm5057169,2020-01-19,2020-01-19,,"Thomasin McKenzie","Leave No Trace","26 de julio de 2000"
81,nm0424060,2020-01-19,2020-01-19,,"Scarlett Johansson","Lost in Translation","22 de noviembre de 1984"
82,nm0169806,2020-01-19,2020-01-19,,"Taika Waititi","What We Do in the Shadows","16 de agosto de 1975"
83,nm3860305,2020-01-19,2020-01-19,,"Lola Kirke","Gone Girl","27 de septiembre"
84,nm3231692,2020-01-19,2020-01-19,,"Hannah Dunne","Marriage Story","8 de abril de 1990"
85,nm1935086,2020-01-24,2020-01-24,,"Tessa Thompson","Creed","3 de octubre de 1983"
86,nm2547958,2020-01-24,2020-01-24,,"Kate Berlant","Once Upon a Time in... Hollywood","16 de julio de 1987"
87,nm1869101,2020-01-24,2020-01-24,,"Ana de Armas","Blade Runner 2049","30 de abril de 1988"
88,nm0935541,2020-01-24,2020-01-24,,"Mary Elizabeth Winstead","10 Cloverfield Lane","28 de noviembre de 1984"
89,nm1736769,2020-01-27,2020-01-27,,"Ariel Winter","Sofia the First","28 de enero de 1998"
90,nm0405103,2020-01-27,2020-01-27,,"Sarah Hyland","Vampire Academy","24 de noviembre de 1990"
91,nm8058666,2020-02-09,2020-02-09,,"Cris Iglesias","Antes de nós",
92,nm2399383,2020-02-29,2020-02-29,,"Annalise Basso","Captain Fantastic","2 de diciembre de 1998"
93,nm5065920,2020-02-29,2020-02-29,,"Julia Goldani Telles","Slender Man","18 de marzo de 1995"
94,nm1354955,2020-03-14,2020-03-14,,"Irene Escolar","Dime quién soy","19 de octubre de 1988"
95,nm3816157,2020-03-14,2020-03-14,,"Megan Montaner","Sin identidad","21 de agosto"
96,nm9681752,2020-03-14,2020-03-14,,"Julia Fox","Uncut Gems","2 de febrero de 1990"
97,nm3418701,2020-03-15,2020-03-15,,"Priscilla Delgado","Julieta","31 de marzo de 2002"
98,nm3188127,2020-03-22,2020-03-22,,"Itsaso Arana","Las chicas están bien","20 de agosto de 1985"
99,nm0303073,2020-03-24,2020-03-24,,"Melissa Fumero","Brooklyn Nine-Nine","19 de agosto"
100,nm2003229,2020-03-24,2020-03-24,,"Chelsea Peretti","Parks and Recreation","20 de febrero de 1978"
101,nm3715867,2020-03-24,2020-03-24,,"Stephanie Beatriz","Encanto","10 de febrero de 1981"
102,nm2654829,2020-03-31,2020-03-31,,"Maude Apatow","This Is 40","15 de diciembre de 1997"
103,nm2285844,2020-04-05,2020-04-05,,"Inma Cuesta","La novia","25 de junio de 1980"
104,nm3196216,2020-04-09,2020-04-09,,"Emily Robinson","Ugly Cry","18 de octubre de 1998"
105,nm3918035,2020-04-11,2020-04-11,,"Zendaya","Spider-Man: Homecoming","1 de septiembre de 1996"
106,nm3886028,2020-04-11,2020-04-11,,"Angourie Rice","The Nice Guys","1 de enero de 2001"
107,nm1130627,2020-04-11,2020-04-11,,"Cobie Smulders","The Avengers","3 de abril de 1982"
108,nm1194748,2020-04-17,2020-04-17,,"Adèle Haenel","Portrait de la jeune fille en feu","11 de febrero de 1989"
109,nm1662011,2020-04-20,2020-04-20,,"Morjana Alaoui","Martyrs","1983"
110,nm0004851,2020-04-25,2020-04-25,,"Penélope Cruz","Vicky Cristina Barcelona","28 de abril de 1974"
111,nm5443544,2020-04-25,2020-04-25,,"Mar del Corral","Todos lo saben",
112,nm2907059,2020-04-25,2020-04-25,,"Carla Campra","Todos lo saben","16 de abril de 1999"
113,nm0000702,2020-05-01,2020-05-01,,"Reese Witherspoon","Wild","22 de marzo de 1976"
114,nm0940362,2020-05-01,2020-05-01,,"Shailene Woodley","Divergent","15 de noviembre de 1991"
115,nm0000301,2020-05-02,2020-05-02,,"Thora Birch","Ghost World","11 de marzo de 1982"
116,nm3177382,2020-05-03,2020-05-03,,"Belén Cuesta","La Llamada","24 de enero de 1984"
117,nm0665235,2020-05-15,2020-05-15,,"Elsa Pataky","Furious 6","18 de julio de 1976"
118,nm0005253,2020-06-08,2020-06-08,,"Elisabeth Moss","The Invisible Man","24 de julio de 1982"
119,nm1419440,2020-06-13,2020-06-13,,"Ivana Baquero","El laberinto del fauno","11 de junio"
120,nm1102577,2020-06-13,2020-06-13,,"Elle Fanning","Super 8","9 de abril de 1998"
121,nm1411125,2020-06-13,2020-06-13,,"Selena Gomez","Spring Breakers","22 de julio de 1992"
122,nm6848259,2020-06-13,2020-06-13,,"Olivia Delcán","Isla Bonita","29 de mayo de 1992"
123,nm2442289,2020-06-13,2020-06-13,,"Gina Carano","The Mandalorian","16 de abril"
124,nm1235867,2020-06-20,2020-06-20,,"Nadia de Santiago","El tiempo que te doy","3 de enero de 1990"
125,nm4170579,2020-06-20,2020-06-20,,"Iria del Río","Los años nuevos","13 de enero de 1987"
126,nm10061586,2020-06-20,2020-06-20,,"Carmen Arrufat","La innocència","11 de octubre de 2002"
127,nm3419668,2020-06-29,2020-06-29,,"Aisha Dee","Safe Home","13 de septiembre de 1993"
128,nm3126686,2020-07-04,2020-07-04,,"Julia Stockler","A Vida Invisível de Eurídice Gusmão",
129,nm0439344,2020-07-05,2020-07-05,,"Anna Karina","Une femme est une femme","22 de septiembre de 1940"
130,nm7328813,2020-07-25,2020-07-25,,"María de Nati","El reino","11 de junio de 1997"
131,nm3730253,2020-07-25,2020-07-25,,"Alexandra Borbély","Teströl és lélekröl","4 de septiembre de 1986"
132,nm2757249,2020-07-25,2020-07-25,,"Réka Tenki","Teströl és lélekröl","18 de junio de 1986"
133,nm3562015,2020-07-31,2020-07-31,,"Melissanthi Mahut","Assassin's Creed: Odyssey","20 de septiembre de 1988"
134,nm6045387,2020-07-31,2020-07-31,,"Elina Alminas","Ex Machina",
135,nm5131296,2020-08-15,2020-08-15,,"Natalia de Molina","Techo y comida","19 de diciembre de 1989"
136,nm1699333,2020-08-15,2020-08-15,,"Ruth Díaz","Tarde para la ira","26 de enero de 1975"
137,nm2409796,2020-08-15,2020-08-15,,"Mona Martínez","Adiós","16 de abril de 1968"
138,nm0297443,2020-08-15,2020-08-15,,"Mariola Fuentes","Los abrazos rotos","12 de agosto de 1970"
139,nm2992123,2020-08-17,2020-08-17,,"Marta Martín","Tres metros sobre el cielo","1990"
140,nm1206701,2020-08-17,2020-08-17,,"Leticia Dolera","[Rec]³: Génesis","23 de octubre de 1981"
141,nm1298582,2020-08-17,2020-08-17,,"Anna Castillo","Nowhere","9 de octubre de 1993"
142,nm3467663,2020-08-17,2020-08-17,,"Aura Garrido","El ministerio del tiempo","29 de mayo de 1989"
143,nm1011122,2020-08-17,2020-08-17,,"Cecilia Freire","Velvet","17 de noviembre de 1981"
144,nm0679150,2020-08-17,2020-08-17,,"Candela Peña","Todo sobre mi madre","14 de julio de 1973"
145,nm1800447,2020-08-21,2020-08-21,,"Rocío León","Tengo que matar a María","25 de junio de 1984"
146,nm2993965,2020-08-21,2020-08-21,,"Cristina Gallego","Todos tus secretos",
147,nm3435229,2020-08-24,2020-08-24,,"Silvia Alonso","Durante la tormenta","28 de diciembre de 1989"
148,nm1067496,2020-08-24,2020-08-24,,"Miryam Gallego","Águila Roja","1976"
149,nm4264236,2020-08-24,2020-08-24,,"Bruna Cusí","Estiu 1993","9 de septiembre de 1986"
150,nm0076396,2020-08-25,2020-08-25,,"Sue Bernard","Faster, Pussycat! Kill! Kill!","11 de febrero de 1948"
151,nm0014960,2020-08-27,2020-08-27,,"Alexandre Aja","Haute tension","7 de agosto de 1978"
152,nm0678238,2020-09-01,2020-09-01,,"Sonia Petrovna","La prima notte di quiete","13 de enero de 1952"
153,nm3227090,2020-09-01,2020-09-01,,"Damien Chazelle","Whiplash","19 de enero de 1985"
154,nm0683467,2020-09-03,2020-09-03,,"Alison Pill","Scott Pilgrim vs. the World","27 de noviembre de 1985"
155,nm8314228,2020-09-03,2020-09-03,,"Cailee Spaeny","Alien: Romulus","24 de julio de 1998"
156,nm3270673,2020-09-06,2020-09-06,,"Rachel Jackson","Beats","23 de agosto"
157,nm4456120,2020-09-11,2020-09-11,,"Elizabeth Debicki","Everest","24 de agosto de 1990"
158,nm2832695,2020-09-14,2020-09-14,,"Deborah Ann Woll","True Blood","7 de febrero de 1985"
159,nm0304801,2020-09-14,2020-09-14,,"Romola Garai","Atonement","6 de agosto de 1982"
160,nm2858875,2020-09-19,2020-09-19,,"Sydney Sweeney","Euphoria","12 de septiembre de 1997"
161,nm9840685,2020-09-19,2020-09-19,,"Andrea Fandos","Las niñas",
162,nm10863257,2020-09-19,2020-09-19,,"Zoé Arnao","Journey to Bethlehem",
163,nm7340546,2020-09-20,2020-09-20,,"Eliza Scanlen","Little Women","6 de enero de 1999"
164,nm1985859,2020-09-20,2020-09-20,,"Mia Wasikowska","Alice in Wonderland","25 de octubre de 1989"
165,nm2187703,2020-09-22,2020-09-22,,"Betsy Túrnez","Contratiempo","13 de octubre de 1974"
166,nm3586035,2020-09-26,2020-09-26,,"Maisie Williams","The New Mutants","15 de abril de 1997"
167,nm7385556,2020-09-26,2020-09-26,,"Blu Hunt","The New Mutants","11 de julio de 1995"
168,nm1519680,2020-10-03,2020-10-03,,"Saoirse Ronan","Hanna","12 de abril de 1994"
169,nm0126284,2020-10-04,2020-10-04,,"Rose Byrne","Spy","24 de julio de 1979"
170,nm0001491,2020-10-04,2020-10-04,,"Melanie Lynskey","Togetherness","16 de mayo de 1977"
171,nm2650819,2020-10-09,2020-10-09,,"Adèle Exarchopoulos","La Vie d'Adèle: Chapitres 1 et 2","22 de noviembre de 1993"
172,nm0607865,2020-10-10,2020-10-10,,"Emily Mortimer","Mary Poppins Returns","6 de octubre de 1971"
173,nm2757333,2020-10-10,2020-10-10,,"Bella Heathcote","The Neon Demon","27 de mayo de 1987"
174,nm10301720,2020-10-12,2020-10-12,,"Fruzsina Hais","Post Mortem",
175,nm4608926,2020-10-12,2020-10-12,,"Valeria Gonzalez","Inside the Circle",
176,nm7015080,2020-10-12,2020-10-12,,"Romane Denis","Charlotte a du fun",
177,nm4209430,2020-10-13,2020-10-13,,"Carlos Vermut","Quién te cantará","6 de marzo de 1980"
178,nm3014031,2020-10-15,2020-10-15,,"Rachel Brosnahan","The Marvelous Mrs. Maisel","12 de julio de 1990"
179,nm4620730,2020-10-16,2020-10-16,,"Tara Basro","Perempuan tanah jahanam","11 de junio de 1990"
180,nm6904578,2020-10-17,2020-10-17,,"Mireia Oriol","Alma","1996"
181,nm4374524,2020-10-17,2020-10-17,,"Noémie Merlant","Portrait de la jeune fille en feu","27 de noviembre de 1988"
182,nm5198446,2020-10-20,2020-10-20,,"Cecily Strong","Saturday Night Live","8 de febrero de 1984"
183,nm7692698,2020-10-23,2020-10-23,,"Katherine Langford","Knives Out","29 de abril de 1996"
184,nm1597268,2020-10-26,2020-10-26,,"Mary Mouser","Alexander and the Terrible, Horrible, No Good, Very Bad Day","9 de mayo de 1996"
185,nm2572554,2020-10-26,2020-10-26,,"Peyton List","Diary of a Wimpy Kid: Dog Days","6 de abril de 1998"
186,nm0240318,2020-10-26,2020-10-26,,"Lola Dueñas","Mar adentro","6 de octubre de 1971"
187,nm7527792,2020-10-26,2020-10-26,,"Ester Expósito","Venus","26 de enero de 2000"
188,nm6077431,2020-11-04,2020-11-04,,"Mathilde Warnier","The Widow","2 de octubre de 1991"
189,nm0000383,2020-11-07,2020-11-07,,"Jennifer Ehle","Zero Dark Thirty","29 de diciembre de 1969"
190,nm6077056,2020-11-07,2020-11-07,,"Morfydd Clark","Saint Maud","17 de marzo de 1989"
191,nm9299588,2020-11-08,2020-11-08,,"Catalina Sopelana","Videoclub 2001",
192,nm3459140,2020-11-15,2020-11-15,,"Olivia Luccardi","It Follows","17 de mayo de 1989"
193,nm2812026,2020-11-26,2020-11-26,,"Nathalie Emmanuel","Fast & Furious 7","2 de marzo de 1989"
194,nm0116167,2020-11-28,2020-11-28,,"Catherine Brunet","Farador","30 de octubre de 1990"
195,nm4457775,2020-11-28,2020-11-28,,"Ella Hunt","Dickinson","29 de abril de 1998"
196,nm7939956,2020-11-29,2020-11-29,,"Giorgia Whigham","Sierra Burgess Is a Loser","19 de agosto de 1997"
197,nm3766704,2020-12-07,2020-12-07,,"Amaia Aberasturi","Akelarre","28 de abril de 1997"
198,nm2863778,2020-12-07,2020-12-07,,"Jade Olieberg","De club","1 de octubre de 1993"
199,nm6098424,2020-12-09,2020-12-09,,"Paula Usero","#Luimelia","22 de octubre de 1991"
200,nm2681284,2020-12-12,2020-12-12,,"Jessica De Gouw","The Union","15 de febrero"
201,nm6096118,2020-12-12,2020-12-12,,"Sophia Lillis","It","13 de febrero de 2002"
202,nm4972453,2020-12-18,2020-12-18,,"Olivia Cooke","Ready Player One","27 de diciembre de 1993"
203,nm0914455,2020-12-22,2020-12-22,,"Leonor Watling","My Life Without Me","28 de julio de 1975"
204,nm1690097,2020-12-26,2020-12-26,,"Carolina Lapausa","Pulsaciones","1980"
205,nm5229260,2020-12-27,2020-12-27,,"Rosalinda Galán","The Third Place",
206,nm4201461,2021-01-02,2021-01-02,,"Ingrid García-Jonsson","Hermosa juventud","6 de septiembre de 1991"
207,nm1531585,2021-01-02,2021-01-02,,"Verónica Echegui","The Cold Light of Day","16 de junio de 1983"
208,nm0577867,2021-01-03,2021-01-03,,"Marisa Mell","Diabolik","24 de febrero de 1939"
209,nm7210025,2021-01-10,2021-01-10,,"Maria Bakalova","Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan","4 de junio de 1996"
210,nm0622980,2021-01-24,2021-01-24,,"Nieves Navarro","La morte cammina con i tacchi alti","10 de noviembre de 1938"
211,nm0952841,2021-01-24,2021-01-24,,"Mónica Zanchi","Incontri molto... ravvicinati del quarto tipo","1959"
212,nm2129662,2021-01-29,2021-01-29,,"Cristin Milioti","Palm Springs","16 de agosto de 1985"
213,nm0172769,2021-01-30,2021-01-30,,"Madeleine Collinson","Permissive","22 de julio de 1952"
214,nm0475752,2021-01-30,2021-01-30,,"Chiaki Kuriyama","Kill Bill: Vol. 1","10 de octubre de 1984"
215,nm11929341,2021-02-05,2021-02-05,,"Tamara Saade","The Devil and the Bicycle",
216,nm2665105,2021-02-07,2021-02-07,,"Grace Van Patten","Mayday","21 de noviembre de 1996"
217,nm8180163,2021-02-13,2021-02-13,,"Lily Newmark","Solo: A Star Wars Story","24 de mayo de 1994"
218,nm2247245,2021-02-28,2021-02-28,,"Haley Bennett","Swallow","7 de enero de 1988"
219,nm0186225,2021-03-01,2021-03-01,,"Barbara Crampton","From Beyond","27 de diciembre"
220,nm6764011,2021-03-02,2021-03-02,,"Madeline Quinn","The Scary of Sixty-First","22 de enero de 1991"
221,nm0006702,2021-03-02,2021-03-02,,"Ana Belén","La pasión turca","27 de mayo de 1951"
222,nm10823391,2021-03-03,2021-03-03,,"Elisheva Weil","Mishehu Yohav Mishehu",
223,nm6597419,2021-03-03,2021-03-03,,"Ani Mesa-Perez","Destroy All Girls",
224,nm6597420,2021-03-03,2021-03-03,,"Alessandra Mesa","Superior",
225,nm8018197,2021-03-05,2021-03-05,,"Eugénie Derouand","Le coeur du pélican",
226,nm0466977,2021-03-14,2021-03-14,,"Sylva Koscina","Le fatiche di Ercole","22 de agosto de 1933"
227,nm0370769,2021-03-18,2021-03-18,,"Linda Hayden","The Boys from Brazil","19 de enero de 1953"
228,nm1063517,2021-03-20,2021-03-20,,"Kathryn Hahn","Afternoon Delight","23 de julio de 1973"
229,nm3400186,2021-03-26,2021-03-26,,"Julia Garner","The Fantastic Four: First Steps","1 de febrero de 1994"
230,nm3779551,2021-04-06,2021-04-06,,"Laura Ledesma","Diana","2 de junio de 1993"
231,nm0790057,2021-04-24,2021-04-24,,"Alia Shawkat","Arrested Development","18 de abril de 1989"
232,nm4699715,2021-05-02,2021-05-02,,"Madeleine Arthur","To All the Boys I've Loved Before","10 de marzo de 1997"
233,nm2142336,2021-05-16,2021-05-16,,"Riley Keough","Mad Max: Fury Road","29 de mayo de 1989"
234,nm4806887,2021-05-16,2021-05-16,,"Chloe Fineman","Saturday Night Live","20 de julio de 1988"
235,nm5906920,2021-05-16,2021-05-16,,"Heidi Gardner","Hustle","27 de julio de 1983"
236,nm0571952,2021-05-16,2021-05-16,,"Kate McKinnon","Ghostbusters","6 de enero de 1984"
