Position,Const,Created,Modified,Description,Name,Known For,Birth Date
394,nm5584750,2022-08-16,2022-08-16,,"Sadie Sink","Stranger Things","16 de abril de 2002"
395,nm7581394,2022-08-16,2022-08-16,,"Audrey Holcomb","Stranger Things",
396,nm3513533,2022-09-03,2022-09-03,,"Stephanie Hsu","The Marvelous Mrs. Maisel","25 de noviembre de 1990"
397,nm4561559,2022-09-03,2022-09-03,,"Renate Reinsve","Affeksjonsverdi","24 de noviembre de 1987"
398,nm0840772,2022-09-19,2022-09-19,,"Emma Suárez","Julieta","25 de junio de 1964"
399,nm0728484,2022-09-19,2022-09-19,,"Ana Risueño","La herencia Valdemar","22 de junio de 1969"
400,nm2913275,2022-09-24,2022-09-24,,"Debby Ryan","Insatiable","13 de mayo de 1993"
401,nm11942181,2022-10-10,2022-10-10,,"Edurne Azkarate","Irati",
402,nm1189197,2022-10-11,2022-10-11,,"Quentin Dupieux","Rubber","14 de abril de 1974"
403,nm4205963,2022-10-11,2022-10-11,,"Oulaya Amamra","Divines","12 de noviembre de 1996"
404,nm1326732,2022-10-11,2022-10-11,,"Anaïs Demoustier","Le Comte de Monte-Cristo","29 de septiembre de 1987"
405,nm2140860,2022-10-12,2022-10-12,,"Maika Monroe","It Follows","29 de mayo de 1993"
406,nm1987150,2022-10-22,2022-10-22,,"Esperanza Pedreño","Camera café","20 de diciembre de 1974"
407,nm0851582,2022-12-09,2022-12-09,,"Audrey Tautou","Le Fabuleux Destin d'Amélie Poulain","9 de agosto de 1976"
408,nm5001826,2022-12-09,2022-12-09,,"Zoe Stein","Mantícora","2000"
409,nm13581656,2022-12-17,2022-12-17,,"Carla Quílez","La maternal","2008"
410,nm9220161,2022-12-20,2022-12-20,,"Markella Kavenagh","My First Summer","30 de enero de 2000"
411,nm0428065,2022-12-21,2022-12-21,,"Felicity Jones","Rogue One","17 de octubre de 1983"
412,nm2033210,2022-12-22,2022-12-22,,"Celia Freijeiro","Vida perfecta","9 de febrero de 1983"
413,nm0531808,2023-01-06,2023-01-06,,"Kelly Macdonald","No Country for Old Men","23 de febrero de 1976"
414,nm4911194,2023-01-13,2023-01-13,,"Jenna Ortega","Wednesday","27 de septiembre de 2002"
415,nm0771268,2023-01-14,2023-01-14,,"Rosanna Schiaffino","La mandragola","25 de noviembre de 1939"
416,nm0090041,2023-01-24,2023-01-24,,"Janus Blythe","The Hills Have Eyes","29 de enero de 1951"
417,nm2555462,2023-02-04,2023-02-04,,"Eiza González","Baby Driver","30 de enero"
418,nm0005412,2023-02-08,2023-02-08,,"Jane Seymour","Somewhere in Time","15 de febrero de 1951"
419,nm3948952,2023-02-11,2023-02-11,,"Vanessa Kirby","The Crown","18 de abril de 1987"
420,nm0000099,2023-02-11,2023-02-11,,"Patricia Arquette","True Romance","8 de abril de 1968"
421,nm0000486,2023-02-11,2023-02-11,,"Heather Langenkamp","A Nightmare on Elm Street","17 de julio de 1964"
422,nm0748075,2023-02-11,2023-02-11,,"Jennifer Rubin","Screamers","3 de abril de 1962"
423,nm0000208,2023-02-18,2023-02-18,,"Molly Ringwald","Sixteen Candles","18 de febrero de 1968"
424,nm6854116,2023-02-18,2023-02-18,,"Milly Alcock","Supergirl","11 de abril de 2000"
425,nm0006802,2023-03-11,2023-03-11,,"Toy Newkirk","A Nightmare on Elm Street 4: The Dream Master","27 de julio de 1969"
426,nm4714676,2023-03-31,2023-03-31,,"Luàna Bajrami","Portrait de la jeune fille en feu","14 de marzo de 2001"
427,nm3964350,2023-03-31,2023-03-31,,"Amandla Stenberg","The Hunger Games","23 de octubre de 1998"
428,nm0823219,2023-04-03,2023-04-03,,"Koo Stark","Electric Dreams","26 de abril de 1956"
429,nm0000819,2023-04-05,2023-04-05,,"Barbara Bach","The Spy Who Loved Me","28 de agosto de 1946"
430,nm0613098,2023-04-05,2023-04-05,,"Caroline Munro","The Spy Who Loved Me","16 de enero de 1949"
431,nm10847160,2023-04-06,2023-04-06,,"Suzanna Son","Red Rocket","31 de octubre de 1995"
432,nm3856214,2023-04-20,2023-04-20,,"Mireia Vilapuig","Selftape","2 de septiembre de 1997"
